CardNumber,ExpYear,ExpMonth,CCV,CardType
4208-1170-3237-4641,2018,2,737, Visa
4780-5343-8634-2444,2019,2,425, Visa
5208-2550-2631-2321,2018,2,812, MasterCard
5000-6368-7738-7753,2018,9,184, MasterCard
5841-3666-2502-0802,2018,5,186, MasterCard
5504-3165-2284-1626,2019,5,135, MasterCard
4161-8684-7681-4485,2018,1,271, Visa
4423-8684-0658-5506,2019,7,854, Visa
5164-5662-1805-2018,2018,8,318, MasterCard
5781-1653-7204-0571,2018,4,321, MasterCard
4160-0727-5546-1404,2019,7,460, Visa
5266-4364-0026-6353,2018,7,706, MasterCard
4021-3518-5575-3327,2019,12,958, Visa
4556-5687-4084-7435,2019,4,899, Visa
5711-2066-7667-2530,2019,8,555, MasterCard
5665-0287-2248-8711,2019,6,127, MasterCard
4686-2121-3145-2017,2018,11,798, Visa
4063-1637-5224-2760,2019,5,165, Visa
5348-6458-4501-2352,2018,9,697, MasterCard
4546-0040-7147-2844,2018,2,505, Visa
5731-0342-6154-2272,2019,2,749, MasterCard
4661-7180-4676-4717,2019,2,648, Visa
5107-3651-6216-0178,2018,12,215, MasterCard
5570-4404-4033-6763,2018,7,540, MasterCard
4567-4823-3462-8002,2018,5,615, Visa
4242-8348-2028-4117,2019,3,125, Visa
4772-2602-6105-6806,2019,1,630, Visa
5665-6656-1160-3510,2019,2,785, MasterCard
4338-5158-8128-8080,2019,1,948, Visa
5884-5450-2712-2674,2019,9,448, MasterCard
4665-6246-0455-4506,2018,9,303, Visa
5342-6067-4732-6361,2019,7,541, MasterCard
5074-4837-7476-5828,2018,6,346, MasterCard
5033-7236-7370-5031,2018,7,291, MasterCard
4373-0171-1382-5140,2019,5,644, Visa
4640-3838-5622-5303,2019,4,329, Visa
4630-6634-5836-8144,2018,11,340, Visa
5726-6534-3480-8141,2018,2,705, MasterCard
4653-1611-0178-6640,2019,11,882, Visa
5715-3405-0858-4401,2019,8,132, MasterCard
5543-1624-8118-7475,2019,2,694, MasterCard
5211-0036-7421-2467,2019,4,969, MasterCard
4146-2654-4241-1050,2019,7,825, Visa
4706-7047-0052-7126,2019,11,314, Visa
5227-7101-4558-6442,2018,9,547, MasterCard
4787-8273-0840-6211,2018,7,967, Visa
4402-2378-7437-7504,2018,10,764, Visa
5003-2858-6712-5208,2018,11,176, MasterCard
5851-8852-0830-6517,2019,7,448, MasterCard
4681-1532-0574-6170,2018,4,254, Visa
4612-3384-3411-5172,2018,1,245, Visa
5052-3740-3028-1641,2018,5,433, MasterCard
4718-1231-1380-8880,2019,5,338, Visa
4637-6786-6268-3750,2018,1,436, Visa
5568-1802-1826-3047,2018,2,911, MasterCard
5478-2803-0068-7613,2019,5,968, MasterCard
5173-7722-4838-6306,2018,2,334, MasterCard
5622-6832-2140-4833,2018,8,249, MasterCard
4154-3181-6847-5665,2019,11,893, Visa
5455-6271-4655-2186,2018,3,653, MasterCard
4012-1624-4626-2137,2018,10,374, Visa
5467-5750-3722-1633,2019,6,438, MasterCard
5348-6827-6246-4373,2018,7,844, MasterCard
5378-7860-3845-8870,2018,9,952, MasterCard
4163-0123-2374-2833,2019,3,800, Visa
5040-1248-7322-2854,2019,1,552, MasterCard
4416-7850-6012-6006,2018,9,500, Visa
5251-4181-3065-3651,2019,6,464, MasterCard
4668-2841-4605-3728,2019,3,876, Visa
5045-8148-6520-5884,2018,1,625, MasterCard
4757-6717-2536-2425,2018,3,320, Visa
4128-6836-6521-7776,2018,6,645, Visa
5453-6556-1221-8372,2018,9,744, MasterCard
4401-8885-3531-0572,2019,1,548, Visa
4850-6877-3080-1500,2019,1,291, Visa
4227-5104-7668-3831,2019,1,182, Visa
5862-3467-5210-7253,2018,11,311, MasterCard
5142-6801-1264-5285,2018,12,720, MasterCard
5511-8566-1253-0358,2018,2,127, MasterCard
4884-5741-4065-6874,2019,5,162, Visa
4208-5051-3668-3745,2019,10,449, Visa
5837-1034-2361-1482,2019,9,514, MasterCard
5504-8755-3082-3637,2019,6,549, MasterCard
4078-4462-2486-4441,2019,8,879, Visa
5522-5423-5517-0811,2018,10,703, MasterCard
5480-2468-0216-2252,2018,2,727, MasterCard
5777-1084-5267-0236,2018,12,576, MasterCard
4115-1783-8277-4378,2019,8,190, Visa
5702-6013-0205-5640,2019,12,523, MasterCard
5611-6236-3248-7715,2019,1,390, MasterCard
4380-8322-2016-2414,2018,8,512, Visa
4437-6433-8404-6233,2018,7,298, Visa
4075-4586-7334-8522,2018,2,502, Visa
4301-6126-2141-4820,2019,4,172, Visa
4786-5266-5135-5584,2018,7,313, Visa
5748-2370-8868-3762,2019,5,714, MasterCard
5531-5248-7011-8383,2018,11,490, MasterCard
